TIME_DATE,STATUS,SENSOR_ID,INT
18:56:44/18/4,ENTERED,IR_ENTRANCE,25
18:56:54/18/4,EXITED,IR_EXIT,24
18:57:8/18/4,ENTERED,IR_ENTRANCE,25
18:57:20/18/4,EXITED,IR_EXIT,24
18:57:36/18/4,EXITED,IR_EXIT,23
18:57:43/18/4,ENTERED,IR_ENTRANCE,24
18:58:1/18/4,EXITED,IR_EXIT,23
18:58:5/18/4,EXITED,IR_EXIT,22
18:58:19/18/4,EXITED,IR_EXIT,21
18:58:25/18/4,ENTERED,IR_ENTRANCE,22
18:58:29/18/4,ENTERED,IR_ENTRANCE,23
18:58:34/18/4,ENTERED,IR_ENTRANCE,24
18:58:52/18/4,ENTERED,IR_ENTRANCE,25
18:59:0/18/4,EXITED,IR_EXIT,24
18:59:8/18/4,ENTERED,IR_ENTRANCE,25
18:59:17/18/4,ENTERED,IR_ENTRANCE,26
18:59:20/18/4,ENTERED,IR_ENTRANCE,27
18:59:38/18/4,ENTERED,IR_ENTRANCE,28
18:59:46/18/4,ENTERED,IR_ENTRANCE,29
18:59:54/18/4,EXITED,IR_EXIT,28
19:0:0/18/4,EXITED,IR_EXIT,27
19:0:13/18/4,ENTERED,IR_ENTRANCE,28
19:0:21/18/4,ENTERED,IR_ENTRANCE,29
19:0:23/18/4,ENTERED,IR_ENTRANCE,30
19:0:31/18/4,ENTERED,IR_ENTRANCE,31
19:0:41/18/4,EXITED,IR_EXIT,30
19:0:50/18/4,ENTERED,IR_ENTRANCE,31
19:0:59/18/4,EXITED,IR_EXIT,30
19:1:0/18/4,ENTERED,IR_ENTRANCE,31
19:1:7/18/4,ENTERED,IR_ENTRANCE,32
19:1:8/18/4,ENTERED,IR_ENTRANCE,33
19:1:9/18/4,ENTERED,IR_ENTRANCE,34
19:1:10/18/4,ENTERED,IR_ENTRANCE,35
19:1:11/18/4,ENTERED,IR_ENTRANCE,36
19:1:12/18/4,ENTERED,IR_ENTRANCE,37
19:1:13/18/4,ENTERED,IR_ENTRANCE,38
19:1:14/18/4,ENTERED,IR_ENTRANCE,39
19:1:15/18/4,ENTERED,IR_ENTRANCE,40
19:1:22/18/4,EXITED,IR_EXIT,39
19:1:40/18/4,ENTERED,IR_ENTRANCE,40
19:1:44/18/4,ENTERED,IR_ENTRANCE,41
19:1:56/18/4,ENTERED,IR_ENTRANCE,42
19:2:2/18/4,ENTERED,IR_ENTRANCE,43
19:2:11/18/4,EXITED,IR_EXIT,42
19:2:26/18/4,ENTERED,IR_ENTRANCE,43
19:2:37/18/4,ENTERED,IR_ENTRANCE,44
19:2:38/18/4,ENTERED,IR_ENTRANCE,45
19:2:43/18/4,ENTERED,IR_ENTRANCE,46
19:2:51/18/4,ENTERED,IR_ENTRANCE,47
19:2:53/18/4,ENTERED,IR_ENTRANCE,48
19:3:3/18/4,ENTERED,IR_ENTRANCE,49
19:3:7/18/4,ENTERED,IR_ENTRANCE,50
19:4:10/18/4,EXITED,IR_EXIT,51
19:11:43/18/4,ENTERED,IR_ENTRANCE,53
19:11:44/18/4,ENTERED,IR_ENTRANCE,54
19:11:45/18/4,ENTERED,IR_ENTRANCE,55
19:11:46/18/4,ENTERED,IR_ENTRANCE,56
19:11:47/18/4,ENTERED,IR_ENTRANCE,57
19:11:48/18/4,ENTERED,IR_ENTRANCE,58
19:11:49/18/4,ENTERED,IR_ENTRANCE,59
19:11:50/18/4,ENTERED,IR_ENTRANCE,60
19:11:51/18/4,ENTERED,IR_ENTRANCE,61
19:11:52/18/4,ENTERED,IR_ENTRANCE,62
