timeAndDate,status,sensorID,INT
17:29:6/19/4,EXITED,IR_EXIT,32
17:29:10/19/4,ENTERED,IR_ENTRANCE,33
17:29:28/19/4,ENTERED,IR_ENTRANCE,34
17:29:31/19/4,EXITED,IR_EXIT,33
17:29:39/19/4,ENTERED,IR_ENTRANCE,34
17:29:47/19/4,EXITED,IR_EXIT,33
17:42:48/19/4,ENTERED,IR_ENTRANCE,34
17:42:57/19/4,ENTERED,IR_ENTRANCE,35
17:43:7/19/4,ENTERED,IR_ENTRANCE,36
17:43:18/19/4,ENTERED,IR_ENTRANCE,37
17:43:31/19/4,EXITED,IR_EXIT,36
17:45:0/19/4,ENTERED,IR_ENTRANCE,37
17:47:12/19/4,EXITED,IR_EXIT,36
17:47:13/19/4,ENTERED,IR_ENTRANCE,37
17:47:17/19/4,ENTERED,IR_ENTRANCE,38
17:47:34/19/4,ENTERED,IR_ENTRANCE,39
17:47:35/19/4,ENTERED,IR_ENTRANCE,40
17:47:36/19/4,ENTERED,IR_ENTRANCE,41
17:47:37/19/4,ENTERED,IR_ENTRANCE,42
17:47:38/19/4,ENTERED,IR_ENTRANCE,43
17:47:39/19/4,ENTERED,IR_ENTRANCE,44
17:47:40/19/4,ENTERED,IR_ENTRANCE,45
17:47:41/19/4,ENTERED,IR_ENTRANCE,46
17:47:42/19/4,ENTERED,IR_ENTRANCE,47
17:47:43/19/4,ENTERED,IR_ENTRANCE,48
17:47:44/19/4,ENTERED,IR_ENTRANCE,49
17:47:54/19/4,ENTERED,IR_ENTRANCE,50
17:47:55/19/4,EXITED,IR_EXIT,49
17:48:0/19/4,EXITED,IR_EXIT,48
17:48:3/19/4,EXITED,IR_EXIT,47
17:48:17/19/4,EXITED,IR_EXIT,46
17:48:25/19/4,EXITED,IR_EXIT,45
17:48:32/19/4,ENTERED,IR_ENTRANCE,46
17:48:38/19/4,ENTERED,IR_ENTRANCE,47
17:48:51/19/4,ENTERED,IR_ENTRANCE,48
17:48:59/19/4,ENTERED,IR_ENTRANCE,49
17:49:9/19/4,ENTERED,IR_ENTRANCE,50
17:49:11/19/4,ENTERED,IR_ENTRANCE,51
17:49:16/19/4,ENTERED,IR_ENTRANCE,52
17:49:25/19/4,ENTERED,IR_ENTRANCE,53
17:49:38/19/4,ENTERED,IR_ENTRANCE,54
17:49:54/19/4,ENTERED,IR_ENTRANCE,55
17:50:13/19/4,EXITED,IR_EXIT,54
17:50:31/19/4,ENTERED,IR_ENTRANCE,55
17:50:40/19/4,ENTERED,IR_ENTRANCE,56
17:50:42/19/4,EXITED,IR_EXIT,55
17:50:47/19/4,ENTERED,IR_ENTRANCE,56
17:50:51/19/4,ENTERED,IR_ENTRANCE,57
17:51:2/19/4,ENTERED,IR_ENTRANCE,58
17:51:8/19/4,ENTERED,IR_ENTRANCE,59
17:51:37/19/4,EXITED,IR_EXIT,58
17:51:40/19/4,EXITED,IR_EXIT,57
17:51:59/19/4,ENTERED,IR_ENTRANCE,58
17:52:3/19/4,ENTERED,IR_ENTRANCE,59
17:52:6/19/4,ENTERED,IR_ENTRANCE,60
17:52:24/19/4,EXITED,IR_EXIT,59
17:52:38/19/4,ENTERED,IR_ENTRANCE,60
17:52:50/19/4,ENTERED,IR_ENTRANCE,61
17:53:3/19/4,ENTERED,IR_ENTRANCE,62
17:53:22/19/4,EXITED,IR_EXIT,61
17:53:28/19/4,ENTERED,IR_ENTRANCE,62
17:53:35/19/4,ENTERED,IR_ENTRANCE,63
17:53:42/19/4,EXITED,IR_EXIT,62
17:53:57/19/4,ENTERED,IR_ENTRANCE,63
17:53:59/19/4,EXITED,IR_EXIT,62
17:54:18/19/4,ENTERED,IR_ENTRANCE,63
17:54:19/19/4,ENTERED,IR_ENTRANCE,64
17:54:20/19/4,ENTERED,IR_ENTRANCE,65
17:54:21/19/4,ENTERED,IR_ENTRANCE,66
17:54:22/19/4,ENTERED,IR_ENTRANCE,67
17:54:23/19/4,ENTERED,IR_ENTRANCE,68
17:54:24/19/4,ENTERED,IR_ENTRANCE,69
17:54:25/19/4,ENTERED,IR_ENTRANCE,70
17:54:50/19/4,EXITED,IR_EXIT,71
17:59:23/19/4,EXITED,IR_EXIT,72
17:59:38/19/4,EXITED,IR_EXIT,71
17:59:46/19/4,ENTERED,IR_ENTRANCE,72
18:0:19/19/4,ENTERED,IR_ENTRANCE,73
18:0:32/19/4,EXITED,IR_EXIT,72
18:4:24/19/4,ENTERED,IR_ENTRANCE,73
18:4:25/19/4,ENTERED,IR_ENTRANCE,74
18:4:30/19/4,EXITED,IR_EXIT,73
18:4:39/19/4,ENTERED,IR_ENTRANCE,74
18:4:54/19/4,ENTERED,IR_ENTRANCE,75
18:5:3/19/4,EXITED,IR_EXIT,74
18:5:4/19/4,ENTERED,IR_ENTRANCE,75
18:5:9/19/4,EXITED,IR_EXIT,74
18:5:17/19/4,ENTERED,IR_ENTRANCE,75
18:5:26/19/4,ENTERED,IR_ENTRANCE,76
18:5:33/19/4,ENTERED,IR_ENTRANCE,77
18:5:52/19/4,ENTERED,IR_ENTRANCE,78
18:5:53/19/4,ENTERED,IR_ENTRANCE,79
18:6:9/19/4,EXITED,IR_EXIT,78
18:6:10/19/4,ENTERED,IR_ENTRANCE,79
18:6:20/19/4,ENTERED,IR_ENTRANCE,80
18:6:31/19/4,ENTERED,IR_ENTRANCE,81
18:6:50/19/4,EXITED,IR_EXIT,80
18:6:56/19/4,ENTERED,IR_ENTRANCE,81
18:7:8/19/4,ENTERED,IR_ENTRANCE,82
18:7:27/19/4,ENTERED,IR_ENTRANCE,83
18:7:39/19/4,ENTERED,IR_ENTRANCE,84
18:28:50/19/4,ENTERED,IR_ENTRANCE,85
18:29:33/19/4,ENTERED,IR_ENTRANCE,86
